,Parti,Nama Calon,Undi,Majoriti,Tahun,Negeri,Kawasan DUN,Kod Parlimen,Keputusan,Jumlah Undi,Bahagian Undi(%),Jumlah Layak Mengundi,Pengundi Melayu(%),Pengundi Cina(%),Pengundi India(%),Pengundi Lain-Lain(%),Pengundi Melayu Islam Bumiputera(%),Pengundi Melayu Bukan Islam Bumiputera(%),Pengundi Sabah Bumiputera(%)
139,UMNO,NIK AB RAHMAN NIK TAIB,4547,0,2004,Kelantan,PASIR TUMBOH,024-018,Kalah,10879,41.79612097,13734,99,1,0,0,0,0,0
140,PAS,MOHAMED DAUD,8807,3256,2004,Kelantan,DEMIT,024-019,Menang,14358,61.33862655,18074,98,2,0,0,0,0,0
141,UMNO,DATUK MUHAMMAD ABDUL GHANI,5551,0,2004,Kelantan,DEMIT,024-019,Kalah,14358,38.66137345,18074,98,2,0,0,0,0,0
142,PAS,HASSAN MOHAMOOD,8503,1688,2004,Kelantan,TAWANG,025-020,Menang,15318,55.50985768,18382,99,1,0,0,0,0,0
143,UMNO,MOHD ZULKIFLI ZAKARIA,6815,0,2004,Kelantan,TAWANG,025-020,Kalah,15318,44.49014232,18382,99,1,0,0,0,0,0
144,PAS,DATUK OMAR MOHAMMAD,7958,1044,2004,Kelantan,PERUPOK,025-021,Menang,14872,53.50995159,18264,97,2,0,1,0,0,0
145,UMNO,MUHAMAD AB RAHMAN,6914,0,2004,Kelantan,PERUPOK,025-021,Kalah,14872,46.49004841,18264,97,2,0,1,0,0,0
146,UMNO,DATUK DR ILIAS HUSSAIN,8212,1113,2004,Kelantan,JELAWAT,025-022,Menang,15311,53.63464176,18673,98,1,0,0,0,0,0
147,PAS,SHAARY AWANG,7099,0,2004,Kelantan,JELAWAT,025-022,Kalah,15311,46.36535824,18673,98,1,0,0,0,0,0
148,UMNO,SAZMI ISHAK,6775,212,2004,Kelantan,MELOR,026-023,Menang,13338,50.79472185,16789,96,3,0,1,0,0,0
149,PAS,WAN ISMAIL WAN YUSOH,6563,0,2004,Kelantan,MELOR,026-023,Kalah,13338,49.20527815,16789,96,3,0,1,0,0,0
150,PAS,SAHMSUDIN @ MOHAMED SHUKRI AB RAHMAN,5301,711,2004,Kelantan,KADOK,026-024,Menang,9891,53.59417652,12435,98,2,0,0,0,0,0
151,UMNO,SHARIFUDDIN DRAHMAN @ ABDUL RAHMAN,4590,0,2004,Kelantan,KADOK,026-024,Kalah,9891,46.40582348,12435,98,2,0,0,0,0,0
152,UMNO,DATUK ANUAR MUSA,8509,2846,2004,Kelantan,KOK LANAS,026-025,Menang,14172,60.04092577,17269,96,2,0,2,0,0,0
153,PAS,MD ASHARI MAMAT,5663,0,2004,Kelantan,KOK LANAS,026-025,Kalah,14172,39.95907423,17269,96,2,0,2,0,0,0
154,PAS,ABDUL FATAH MAHMOOD,6926,426,2004,Kelantan,BUKIT PANAU,027-026,Menang,13426,51.58647401,17018,89,10,0,1,0,0,0
155,UMNO,BAHARUDDIN YUSOF,6500,0,2004,Kelantan,BUKIT PANAU,027-026,Kalah,13426,48.41352599,17018,89,10,0,1,0,0,0
156,UMNO,HASHIM SHAFIN @ SHAFAIN,5149,1116,2004,Kelantan,GUAL IPOH,027-027,Menang,9182,56.07710738,11563,96,1,3,0,0,0,0
157,PAS,WAN YUSOFF WAN MUSTAPHA,4033,0,2004,Kelantan,GUAL IPOH,027-027,Kalah,9182,43.92289262,11563,96,1,3,0,0,0,0
158,PAS,MD ANIZAM AB RAHMAN,3901,352,2004,Kelantan,KEMAHANG,027-028,Menang,7450,52.36241611,9084,99,0,0,1,0,0,0
159,UMNO,NUAINUN @ SHUHANIE DERAMAN,3549,0,2004,Kelantan,KEMAHANG,027-028,Kalah,7450,47.63758389,9084,99,0,0,1,0,0,0
160,PAS,SAIPUL BAHRIN MOHAMAD,5679,187,2004,Kelantan,SELISING,028-029,Menang,11171,50.83698863,13993,99,1,0,0,0,0,0
161,UMNO,AMRAN MAT NOR,5492,0,2004,Kelantan,SELISING,028-029,Kalah,11171,49.16301137,13993,99,1,0,0,0,0,0
