,NEGERI,BAHAGIAN PILIHAN RAYA,NAMA CALON,PARTI,BILANGAN UNDI,STATUS,KOD DAN NAMA PARLIMEN  ,NAMA DUN,JUMLAH UNDI,MAJORITI
141,JOHOR,N. 50 - BUKIT PERMAI,TOSRIN BIN JARVANTHI,PKR,10998,MENANG,P.163 - KULAI,BUKIT PERMAI,20857,
142,JOHOR,N. 51 - BUKIT BATU,TEO LEE HO,BN,7048,,P.163 - KULAI,BUKIT BATU,26041,
143,JOHOR,N. 51 - BUKIT BATU,JIMMY PUAH WEE TSE,PKR,17105,MENANG,P.163 - KULAI,BUKIT BATU,26041,
144,JOHOR,N. 51 - BUKIT BATU,JUWAHIR BIN AMIN ,PAS,1888,HILANG DEPOSIT,P.163 - KULAI,BUKIT BATU,26041,
145,JOHOR,N. 52 - SENAI,SHEN POH KUAN,BN,9372,,P.163 - KULAI,SENAI,37646,
146,JOHOR,N. 52 - SENAI,TEE BOON TSONG,PKR,28274,MENANG,P.163 - KULAI,SENAI,37646,
147,JOHOR,N. 53 - BENUT,HASNI BIN MOHAMMAD,BN,9480,MENANG,P.164 - PONTIAN,BENUT,17103,
148,JOHOR,N. 53 - BENUT,MOHD FIRDAUS BIN JAFFAR,PAS,2590,,P.164 - PONTIAN,BENUT,17103,
149,JOHOR,N. 53 - BENUT,ZULKIFLY BIN TASREP ,PKR,5033,,P.164 - PONTIAN,BENUT,17103,
150,JOHOR,N. 54 - PULAI SEBATANG,TEE SIEW KIONG,BN,11112,,P.164 - PONTIAN,PULAI SEBATANG,28594,
151,JOHOR,N. 54 - PULAI SEBATANG,MUHAMMAD TAQIUDDIN BIN CHEMAN,PKR,14507,MENANG,P.164 - PONTIAN,PULAI SEBATANG,28594,
152,JOHOR,N. 54 - PULAI SEBATANG,BAHAROM BIN MOHAMAD,PAS,2975,HILANG DEPOSIT,P.164 - PONTIAN,PULAI SEBATANG,28594,
153,JOHOR,N. 55 - PEKAN NANAS,TAN ENG MENG,BN,10548,,P.165 - TANJUNG PIAI,PEKAN NANAS,22404,
154,JOHOR,N. 55 - PEKAN NANAS,YEO TUNG SIONG,PKR,11856,MENANG,P.165 - TANJUNG PIAI,PEKAN NANAS,22404,
155,JOHOR,N. 56 - KUKUP,MD OTHMAN BIN HJ YUSOF,BN,11113,MENANG,P.165 - TANJUNG PIAI,KUKUP,22404,
156,JOHOR,N. 56 - KUKUP,SUHAIZAN BIN KAIAT,PKR,10251,,P.165 - TANJUNG PIAI,KUKUP,22404,
157,JOHOR,N. 56 - KUKUP,KARIM BIN DERAMAN,PAS,1040,HILANG DEPOSIT,P.165 - TANJUNG PIAI,KUKUP,22404,
158,KEDAH,N. 01 - AYER HANGAT,AZLINA BINTI AZINAN,PAS,4034,,P.004 - LANGKAWI,AYER HANGAT,17602,
159,KEDAH,N. 01 - AYER HANGAT,JUHARI BIN BULAT,PKR,7550,MENANG,P.004 - LANGKAWI,AYER HANGAT,17602,
160,KEDAH,N. 01 - AYER HANGAT,MOHD RAWI BIN ABD HAMID,BN,6018,,P.004 - LANGKAWI,AYER HANGAT,17602,
161,KEDAH,N. 02 - KUAH,MOHAMAD RATU BIN MANSOR,BEBAS,86,HILANG DEPOSIT,P.004 - LANGKAWI,KUAH,16871,
162,KEDAH,N. 02 - KUAH,MAZLAN BIN AHMAD,PAS,2685,,P.004 - LANGKAWI,KUAH,16871,
163,KEDAH,N. 02 - KUAH,MOHD FIRDAUS BIN AHMAD,PKR,8276,MENANG,P.004 - LANGKAWI,KUAH,16871,
164,KEDAH,N. 02 - KUAH,NOR SAIDI BIN NANYAN,BN,5824,,P.004 - LANGKAWI,KUAH,16871,
165,KEDAH,N. 03 - KOTA SIPUTEH,MAT REJAP BIN MD AKHIR,PAS,5798,,P.005 - JERLUN,KOTA SIPUTEH,18858,
166,KEDAH,N. 03 - KOTA SIPUTEH,SALMEE BINTI SAID,PKR,7265,MENANG,P.005 - JERLUN,KOTA SIPUTEH,18858,
167,KEDAH,N. 03 - KOTA SIPUTEH,AHMAD AZHAR BIN ABDULLAH,BN,5795,,P.005 - JERLUN,KOTA SIPUTEH,18858,
168,KEDAH,N. 04 - AYER HITAM,AZHAR BIN IBRAHIM,PAS,9229,MENANG,P.005 - JERLUN,AYER HITAM,25141,
169,KEDAH,N. 04 - AYER HITAM,ABU HASAN BIN SARIF,BN,7220,,P.005 - JERLUN,AYER HITAM,25141,
170,KEDAH,N. 04 - AYER HITAM,A AZIZ BIN MOHAMOD,PKR,8692,,P.005 - JERLUN,AYER HITAM,25141,
171,KEDAH,N. 05 - BUKIT KAYU HITAM,HALIMATON SHAADIAH BINTI SAAD,PKR,11027,MENANG,P.006 - KUBANG PASU,BUKIT KAYU HITAM,26429,
172,KEDAH,N. 05 - BUKIT KAYU HITAM,AHMAD ZAINI BIN JAPAR,BN,8874,,P.006 - KUBANG PASU,BUKIT KAYU HITAM,26429,
173,KEDAH,N. 05 - BUKIT KAYU HITAM,HABSHAH BINTI BAKAR,PAS,6528,,P.006 - KUBANG PASU,BUKIT KAYU HITAM,26429,
174,KEDAH,N. 06 - JITRA,AMINUDDIN BIN OMAR,BN,8003,,P.006 - KUBANG PASU,JITRA,33919,
175,KEDAH,N. 06 - JITRA,MUKHRIZ MAHATHIR,PKR,18852,MENANG,P.006 - KUBANG PASU,JITRA,33919,
176,KEDAH,N. 06 - JITRA,ZULHAZMI BIN OSMAN,PAS,7064,,P.006 - KUBANG PASU,JITRA,33919,
177,KEDAH,N. 07 - KUALA NERANG,BADROL HISHAM BIN HASHIM,BN,7499,,P.007 - PADANG TERAP,KUALA NERANG,19993,
